NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1137,서울특별시 마포구 성산동,592-3,0592,0003,상암 도시엔 오피스텔,18.83,202408,26,"14,500",7,개인,개인,2017,월드컵로34길 10,-,중개거래,서울 마포구
1138,서울특별시 양천구 목동,919,0919,0000,목동 성우네트빌,48.06,202408,26,"26,000",5,개인,개인,2004,목동서로 186,-,중개거래,서울 양천구
1139,서울특별시 양천구 목동,907-23,0907,0023,현대파크빌,29.4,202408,26,"14,800",5,개인,개인,2003,목동동로 391,-,중개거래,서울 양천구
1140,서울특별시 구로구 오류동,Feb.48,0048,0002,칸타빌레 8차,17.3,202408,26,"16,000",5,개인,개인,2022,경인로20나길 12,-,중개거래,서울 구로구
1141,서울특별시 영등포구 여의도동,Apr.61,0061,0004,콤비빌딩,57.34,202408,26,"31,500",9,개인,개인,1994,63로 32,-,중개거래,서울 영등포구
1142,서울특별시 영등포구 여의도동,May.44,0044,0005,힐스테이트 여의도 파인루체,27.69,202408,26,"33,500",7,개인,개인,2023,여의대방로69길 19,-,중개거래,서울 영등포구
1143,서울특별시 영등포구 양평동2가,1월 22일,0022,0001,스카이시티,18.18,202408,26,"13,700",5,개인,개인,2014,영등포로 14-3,-,직거래,-
1144,서울특별시 관악구 신림동,1523-1,1523,0001,일성트루엘,34.76,202408,26,"20,000",10,법인,개인,2013,신림로23길 16,-,중개거래,서울 관악구
1145,서울특별시 관악구 신림동,1523-1,1523,0001,일성트루엘,27.81,202408,26,"20,000",8,법인,개인,2013,신림로23길 16,-,직거래,-
1146,서울특별시 서초구 서초동,1542-13,1542,0013,서초에스알타워,28.69,202408,26,"25,500",11,개인,개인,2003,반포대로 114,-,중개거래,서울 서초구
1147,서울특별시 서초구 서초동,1446-11,1446,0011,현대슈퍼빌,37.07,202408,26,"34,000",8,개인,법인,2003,서초중앙로 15,-,중개거래,서울 서초구
