NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
4972,세종특별자치시  어진동,648,0648,0000,2차푸르지오시티,월세,23.24,202408,29,500,50,16,2014,가름로 255-21,202408~202508,신규,-,,
4973,경기도 수원시 권선구 권선동,1020-2,1020,0002,LH청년나래家,월세,28.9,202408,29,"2,610",10,2,2023,경수대로384번길 50,202404~202606,갱신,-,100,24
4974,서울특별시 강남구 역삼동,832-3,0832,0003,강남역 쉐르빌,월세,26.08,202408,29,"22,500",15,12,2014,강남대로 328,202409~202609,신규,-,,
4975,세종특별자치시  어진동,648,0648,0000,2차푸르지오시티,월세,21.92,202408,29,500,55,15,2014,가름로 255-21,202409~202502,신규,-,,
4976,서울특별시 마포구 성산동,593-7,0593,0007,마포상암시티프라디움리버,전세,25.12,202408,29,"30,000",0,12,2021,모래내로1길 4,202410~202610,신규,-,,
4977,강원특별자치도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,45.17,202408,29,"1,000",65,4,2018,공지로 455,202410~202510,신규,-,,
4978,강원특별자치도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,전세,18.75,202408,29,"7,000",0,12,2019,공지로 453,202409~202609,신규,-,,
4979,서울특별시 마포구 성산동,590-4,0590,0004,KCC상암스튜디오380,월세,20.35,202408,29,"1,000",61,7,2014, ,202408~202508,신규,-,,
4980,서울특별시 마포구 성산동,593-2,0593,0002,상암 수린나 오피스텔,월세,17.55,202408,29,"1,000",75,3,2018,월드컵로34길 18,202408~202508,신규,-,,
4981,경기도 부천시 원미구 중동,1144-1,1144,0001,굿모닝위너스텔3차,월세,31.32,202408,29,500,56,8,2003,223,202409~202509,신규,-,,
